Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
alishalehmann7,tiktok,Alisha Lehmann,https://cdn.horizm.com/clubs/4181_649bd68d81c94,11822411,4,0.0145,171608,Athlete,https://www.tiktok.com/@alishalehmann7
lautaromartinez,instagram,Lautaro Martinez,https://cdn.horizm.com/clubs/1755_64a276604752a,11802478,4,0.0037,44166,Athlete,https://www.instagram.com/lautaromartinez/
gabigol,instagram,Gabriel Barbosa,https://cdn.horizm.com/clubs/2803_6491f2e1b2ec5,11695558,7,0.0206,241003,Athlete,https://www.instagram.com/gabigol/
stevengerrard,instagram,Steven Gerrard,https://cdn.horizm.com/clubs/ec6718b006c2bac86b5084634f8df33ee1e5b0e8.jpg,11623413,11,0.0203,236020,Athlete,https://www.instagram.com/stevengerrard/
gautamgambhir55,instagram,Gautam Gambhir,https://cdn.horizm.com/clubs/6879_6565aac0ad7a6,11574566,2,0.0017,19576,Athlete,https://www.instagram.com/gautamgambhir55/
cp3,instagram,Chris Paul,https://cdn.horizm.com/clubs/3117_6491fb76ca48f,11488484,7,0.0131,150885,Athlete,https://www.instagram.com/cp3/
thiago6,instagram,Thiago Alcantara,https://cdn.horizm.com/clubs/2291_6491e55c90256,11430495,1,0.0015,17110,Athlete,https://www.instagram.com/thiago6
kunaguero,tiktok,Sergio Aguero,https://cdn.horizm.com/clubs/3388_649202fce20bd,11352663,1,0.0000,149,Athlete,https://www.tiktok.com/@kunaguero
zlatanibrahimovic,tiktok,Zlatan Ibrahimović,https://cdn.horizm.com/clubs/3446_649204717e0c3,11321285,5,0.0074,83629,Athlete,https://www.tiktok.com/@zlatanibrahimovic
romanreigns,instagram,Roman Reigns,https://cdn.horizm.com/clubs/6775_6565a80f0f0f0,11224894,7,0.0466,523042,Athlete,https://www.instagram.com/romanreigns
willianborges88,instagram,Willian Borges,https://cdn.horizm.com/clubs/2805_6491f2f28fd85,11152482,4,0.0015,16861,Athlete,https://www.instagram.com/willianborges88/
